iter	Passed	Remaining
427	1667	2228
428	1670	2223
429	1674	2219
430	1678	2215
431	1680	2210
432	1683	2204
433	1686	2199
434	1691	2196
435	1696	2194
436	1699	2189
437	1701	2183
438	1704	2178
439	1708	2174
440	1710	2168
441	1713	2163
442	1716	2158
443	1719	2152
444	1722	2147
445	1725	2142
446	1727	2137
447	1730	2132
448	1733	2126
449	1736	2122
450	1739	2118
451	1742	2112
452	1744	2107
453	1747	2101
454	1750	2096
455	1753	2091
456	1756	2086
457	1758	2081
458	1761	2076
459	1764	2071
460	1767	2066
461	1770	2061
462	1773	2056
463	1776	2051
464	1780	2048
465	1784	2044
466	1786	2039
467	1789	2034
468	1791	2028
469	1794	2024
470	1798	2019
471	1801	2015
472	1804	2010
473	1806	2005
474	1810	2000
475	1813	1996
476	1816	1991
477	1819	1986
478	1822	1981
479	1825	1977
480	1829	1974
481	1832	1969
482	1835	1964
483	1838	1960
484	1842	1956
485	1845	1951
486	1847	1946
487	1850	1941
488	1853	1936
489	1856	1932
490	1860	1928
491	1863	1923
492	1866	1919
493	1870	1915
494	1873	1911
495	1876	1906
496	1878	1901
497	1881	1896
498	1885	1893
499	1888	1888
500	1890	1883
501	1893	1878
502	1895	1873
503	1901	1871
504	1904	1866
505	1907	1861
506	1909	1856
507	1918	1857
508	1921	1853
509	1924	1849
510	1928	1845
511	1932	1841
512	1935	1837
513	1937	1832
514	1940	1827
515	1943	1822
516	1946	1818
517	1949	1814
518	1952	1809
519	1954	1804
520	1957	1799
521	1960	1795
522	1963	1790
523	1966	1786
524	1969	1781
525	1976	1780
526	1979	1776
527	1981	1771
528	1984	1766
529	1986	1761
530	1990	1757
531	1993	1753
532	1996	1748
533	1998	1744
534	2001	1739
535	2004	1735
536	2008	1731
537	2010	1726
538	2013	1722
539	2016	1717
540	2020	1714
541	2023	1709
542	2025	1704
543	2028	1700
544	2030	1695
545	2034	1691
546	2037	1687
547	2039	1682
548	2042	1678
549	2045	1673
550	2048	1669
551	2052	1665
552	2054	1661
553	2057	1656
554	2060	1652
555	2064	1648
556	2067	1644
557	2070	1639
558	2072	1635
559	2075	1630
560	2078	1626
561	2082	1622
562	2084	1618
563	2087	1613
564	2089	1609
565	2092	1604
566	2096	1600
567	2099	1596
568	2101	1592
569	2104	1587
570	2107	1583
571	2111	1579
572	2113	1574
573	2116	1570
574	2118	1565
575	2122	1562
576	2126	1559
577	2129	1554
578	2132	1550
579	2135	1546
580	2139	1543
581	2143	1539
582	2145	1534
583	2148	1530
584	2152	1527
585	2156	1523
586	2162	1521
587	2165	1517
588	2168	1513
589	2172	1509
590	2175	1505
591	2177	1500
592	2180	1496
593	2185	1494
594	2188	1489
595	2190	1485
596	2193	1480
597	2196	1476
598	2199	1472
599	2202	1468
600	2204	1463
601	2207	1459
602	2209	1454
603	2212	1450
604	2217	1447
605	2219	1443
606	2222	1438
607	2224	1434
608	2228	1430
609	2231	1426
610	2233	1422
611	2236	1417
612	2238	1413
613	2242	1409
614	2245	1405
615	2248	1401
616	2251	1397
617	2253	1393
618	2259	1390
619	2262	1386
620	2265	1382
621	2267	1378
622	2275	1377
623	2281	1374
624	2285	1371
625	2288	1367
626	2291	1363
627	2293	1358
628	2296	1354
629	2298	1350
630	2302	1346
631	2305	1342
632	2308	1338
633	2310	1334
634	2315	1331
635	2319	1327
636	2322	1323
637	2325	1319
638	2327	1315
639	2331	1311
640	2333	1307
641	2336	1302
642	2338	1298
643	2342	1294
644	2346	1291
645	2350	1288
646	2353	1284
647	2356	1280
648	2360	1276
649	2364	1273
650	2366	1268
651	2370	1265
652	2372	1260
653	2377	1257
654	2380	1253
655	2383	1249
656	2385	1245
657	2389	1242
658	2394	1238
659	2397	1235
660	2400	1231
661	2404	1227
662	2408	1224
663	2411	1220
664	2413	1215
665	2416	1211
666	2419	1208
667	2422	1204
668	2425	1199
669	2427	1195
670	2430	1191
671	2433	1187
672	2436	1183
673	2440	1180
674	2443	1176
675	2446	1172
676	2450	1169
677	2453	1165
678	2456	1161
679	2458	1157
680	2461	1152
681	2464	1149
682	2468	1145
683	2471	1141
684	2473	1137
685	2476	1133
686	2479	1129
687	2482	1125
688	2485	1121
689	2487	1117
690	2490	1113
691	2493	1109
692	2497	1106
693	2499	1102
694	2502	1098
695	2504	1094
696	2507	1090
697	2512	1086
698	2514	1082
699	2517	1078
700	2519	1074
701	2522	1071
702	2527	1067
703	2530	1064
704	2534	1060
705	2537	1056
706	2540	1052
707	2543	1049
708	2546	1045
709	2549	1041
710	2553	1037
711	2556	1034
712	2559	1030
713	2561	1026
714	2564	1022
715	2567	1018
716	2570	1014
717	2574	1011
718	2576	1007
719	2579	1003
720	2582	999
721	2585	995
722	2588	991
723	2590	987
724	2593	983
725	2596	979
726	2599	976
727	2602	972
728	2604	968
729	2607	964
730	2610	960
731	2615	957
732	2618	953
733	2621	950
734	2627	947
735	2633	944
736	2638	941
737	2641	937
738	2645	934
739	2649	930
740	2651	926
741	2655	923
742	2659	920
743	2662	916
744	2665	912
745	2667	908
746	2670	904
747	2674	901
748	2677	897
749	2680	893
750	2682	889
751	2685	885
752	2689	882
753	2691	878
754	2694	874
755	2696	870
756	2699	866
757	2703	863
758	2706	859
759	2708	855
760	2711	851
761	2714	847
762	2718	844
763	2720	840
764	2723	836
765	2725	832
766	2728	828
767	2731	825
768	2734	821
769	2737	817
770	2739	813
771	2743	810
772	2748	807
773	2751	803
774	2753	799
775	2756	795
776	2759	791
777	2764	788
778	2767	785
779	2770	781
780	2772	777
781	2777	774
782	2779	770
783	2782	766
784	2784	762
785	2787	758
786	2790	755
787	2794	751
788	2796	747
789	2799	744
790	2801	740
791	2805	736
792	2809	733
793	2812	729
794	2814	725
795	2817	722
796	2821	718
797	2824	714
798	2826	711
799	2829	707
800	2831	703
801	2835	699
802	2838	696
803	2841	692
804	2844	688
805	2846	685
806	2852	682
807	2855	678
808	2857	674
809	2860	670
810	2863	667
811	2868	664
812	2871	660
813	2874	656
814	2877	653
815	2884	650
816	2887	646
817	2890	643
818	2892	639
819	2895	635
820	2898	632
821	2901	628
822	2903	624
823	2906	620
824	2910	617
825	2913	613
826	2916	610
827	2919	606
828	2921	602
829	2924	598
830	2927	595
831	2930	591
832	2933	588
833	2935	584
834	2938	580
835	2941	577
836	2944	573
837	2947	569
838	2950	566
839	2954	562
840	2957	559
841	2960	555
842	2962	551
843	2965	548
844	2968	544
845	2972	541
846	2975	537
847	2977	533
848	2980	530
849	2983	526
850	2986	522
851	2989	519
852	2993	515
853	2998	512
854	3003	509
855	3006	505
856	3009	502
857	3012	498
858	3015	494
859	3018	491
860	3021	487
861	3023	484
862	3026	480
863	3029	476
864	3033	473
865	3035	469
866	3038	466
867	3042	462
868	3046	459
869	3049	455
870	3051	451
871	3054	448
872	3056	444
873	3060	441
874	3064	437
875	3067	434
876	3069	430
877	3073	427
878	3079	423
879	3083	420
880	3086	416
881	3089	413
882	3092	409
883	3094	406
884	3097	402
885	3099	398
886	3102	395
887	3107	391
888	3110	388
889	3112	384
890	3115	381
891	3120	377
892	3123	374
893	3126	370
894	3128	367
895	3132	363
896	3137	360
897	3139	356
898	3142	353
899	3145	349
900	3148	345
901	3151	342
902	3154	338
903	3157	335
904	3159	331
905	3162	328
906	3166	324
907	3169	321
908	3171	317
909	3174	313
910	3177	310
911	3180	306
912	3183	303
913	3185	299
914	3188	296
915	3190	292
916	3194	289
917	3197	285
918	3200	282
919	3202	278
920	3205	274
921	3210	271
922	3213	268
923	3215	264
924	3218	260
925	3221	257
926	3225	253
927	3228	250
928	3230	246
929	3233	243
930	3236	239
931	3241	236
932	3243	232
933	3247	229
934	3249	225
935	3256	222
936	3259	219
937	3262	215
938	3265	212
939	3268	208
940	3271	205
941	3274	201
942	3276	198
943	3279	194
944	3282	191
945	3286	187
946	3289	184
947	3291	180
948	3294	177
949	3297	173
950	3300	170
951	3303	166
952	3306	163
953	3308	159
954	3312	156
955	3315	152
956	3318	149
957	3321	145
958	3324	142
959	3328	138
960	3332	135
961	3334	131
962	3337	128
963	3339	124
964	3343	121
965	3348	117
966	3350	114
967	3353	110
968	3357	107
969	3361	103
970	3363	100
971	3366	96
972	3369	93
973	3372	90
974	3378	86
975	3381	83
976	3384	79
977	3387	76
978	3390	72
979	3393	69
980	3395	65
981	3398	62
982	3400	58
983	3405	55
984	3408	51
985	3411	48
986	3415	44
987	3419	41
988	3423	38
989	3425	34
990	3427	31
991	3430	27
992	3436	24
993	3439	20
994	3441	17
995	3444	13
996	3447	10
997	3450	6
998	3452	3
999	3455	0
