iter	RMSE
326	4.416697517
327	4.414220428
328	4.409738106
329	4.404304221
330	4.40167133
331	4.39959211
332	4.395994295
333	4.392572905
334	4.391965111
335	4.387833625
336	4.385859346
337	4.383487154
338	4.37914363
339	4.378710645
340	4.377304912
341	4.37604601
342	4.372742988
343	4.370576033
344	4.366684019
345	4.364196108
346	4.36219555
347	4.358148585
348	4.356792498
349	4.354430686
350	4.353141299
351	4.352396741
352	4.34788119
353	4.343011836
354	4.339157246
355	4.337229
356	4.333817779
357	4.330060858
358	4.327829452
359	4.325783533
360	4.322719434
361	4.320220572
362	4.318731251
363	4.31588973
364	4.314255142
365	4.311835258
366	4.310092096
367	4.306395574
368	4.305328084
369	4.305109331
370	4.301751268
371	4.300434428
372	4.295072294
373	4.291027083
374	4.287017264
375	4.282423806
376	4.279842915
377	4.275368835
378	4.273336867
379	4.268434208
380	4.268263379
381	4.262985153
382	4.260572721
383	4.256322615
384	4.254283648
385	4.251911142
386	4.251775391
387	4.250029278
388	4.249203465
389	4.248188468
390	4.245398304
391	4.243770614
392	4.243254862
393	4.241756951
394	4.241624686
395	4.23787451
396	4.236223139
397	4.233367625
398	4.227778402
399	4.225308812
400	4.223145315
401	4.222639008
402	4.220508154
403	4.214047461
404	4.212514342
405	4.208131286
406	4.206544523
407	4.202886356
408	4.200094011
409	4.196729834
410	4.195644703
411	4.19378614
412	4.1899301
413	4.189795475
414	4.188783656
415	4.187408664
416	4.182503662
417	4.178036423
418	4.174739862
419	4.171868329
420	4.168177899
421	4.164904671
422	4.162871694
423	4.159690487
424	4.159468204
425	4.155967629
426	4.155705248
427	4.152137661
428	4.1506585
429	4.147764177
430	4.147142374
431	4.143500229
432	4.142135304
433	4.140819621
434	4.137613588
435	4.133395832
436	4.131589034
437	4.131151216
438	4.126708592
439	4.125559488
440	4.122634486
441	4.116737957
442	4.115013334
443	4.114801546
444	4.112325993
445	4.110217013
446	4.106771994
447	4.104691686
448	4.101608613
449	4.099264499
450	4.09787062
451	4.095971182
452	4.092876156
453	4.090897843
454	4.090291696
455	4.090160523
456	4.089226251
457	4.086971866
458	4.082769139
459	4.080152863
460	4.078846027
461	4.074610044
462	4.072097545
463	4.067301731
464	4.064163407
465	4.062425974
466	4.05850196
467	4.055207182
468	4.054359188
469	4.050922493
470	4.047937653
471	4.045825842
472	4.0419443
473	4.040627164
474	4.037261301
475	4.033944868
476	4.030742542
477	4.028508554
478	4.027114106
479	4.02564409
480	4.023218379
481	4.021125216
482	4.017539325
483	4.015484088
484	4.011465906
485	4.010990013
486	4.009229324
487	4.007558416
488	4.007447699
489	4.005109921
490	4.003449865
491	3.999492569
492	3.997701239
493	3.99553765
494	3.991674804
495	3.989288855
496	3.987106136
497	3.986342513
498	3.984596685
499	3.984448005
500	3.983425834
501	3.981779927
502	3.980384751
503	3.977332192
504	3.973486828
505	3.970251259
506	3.968574992
507	3.967117921
508	3.964587299
509	3.96116687
510	3.95862831
511	3.957475388
512	3.955495043
513	3.952754384
514	3.952534526
515	3.94720111
516	3.94432587
517	3.941117734
518	3.939828463
519	3.937384784
520	3.934319573
521	3.930962327
522	3.927878634
523	3.927216808
524	3.927042568
525	3.926912525
526	3.926642046
527	3.924765062
528	3.922868442
529	3.918930618
530	3.916053999
531	3.911602705
532	3.910432724
533	3.909932092
534	3.908808082
535	3.9086549
536	3.903979881
537	3.900866571
538	3.899087603
539	3.898868993
540	3.896303213
541	3.893532903
542	3.89281508
543	3.891158986
544	3.891048486
545	3.887840677
546	3.885024291
547	3.882176489
548	3.880435258
549	3.876480069
550	3.87415946
551	3.870602982
552	3.868472362
553	3.866433906
554	3.86464854
555	3.861085386
556	3.858709214
557	3.856110767
558	3.855518723
559	3.853636269
560	3.849990588
561	3.847269992
562	3.844790973
563	3.843098187
564	3.842158456
565	3.839856266
566	3.836039206
567	3.83481293
568	3.834580333
569	3.834051365
570	3.829502667
571	3.829283226
572	3.829155822
573	3.825109544
574	3.823808853
575	3.822417136
576	3.820649906
577	3.817553358
578	3.816556385
579	3.813461834
580	3.812182785
581	3.810976454
582	3.808689332
583	3.807504056
584	3.804536777
585	3.803317001
586	3.801535485
587	3.799069637
588	3.795421566
589	3.792871909
590	3.792649533
591	3.792143805
592	3.78889788
593	3.786559593
594	3.784963256
595	3.7840906
596	3.781601137
597	3.777668514
598	3.776229643
599	3.773607417
600	3.771729738
601	3.767337191
602	3.767249973
603	3.764205898
604	3.763871934
605	3.760318301
606	3.75649418
607	3.753855577
608	3.753746228
609	3.75237848
610	3.750151089
611	3.74749596
612	3.745112987
613	3.742598145
614	3.741635719
615	3.741444202
616	3.738866587
617	3.737344894
618	3.736621955
619	3.734264456
620	3.733630957
621	3.731946199
622	3.729246271
623	3.728026683
624	3.726188197
625	3.724279268
626	3.723351297
627	3.719913878
628	3.719477374
629	3.719260333
630	3.717821451
631	3.717056294
632	3.715533273
633	3.713080883
634	3.710855092
635	3.709600836
636	3.706567059
637	3.704184539
638	3.70352352
639	3.700915743
640	3.699121707
641	3.698368258
642	3.696612009
643	3.695732215
644	3.692928324
645	3.69176295
646	3.688853529
647	3.686831334
648	3.685009235
649	3.681762271
650	3.678258129
651	3.676929312
652	3.676395841
653	3.674361091
654	3.672138878
655	3.669337014
656	3.664763919
657	3.66431021
658	3.662024065
659	3.660051204
660	3.657040001
661	3.65210995
662	3.650689361
663	3.650483774
664	3.648518259
665	3.648119044
666	3.64677481
667	3.646649926
668	3.64457771
669	3.641629177
670	3.640413994
671	3.636643509
672	3.63434715
673	3.630560806
674	3.629847182
675	3.627340478
676	3.623973915
677	3.621940595
678	3.620792988
679	3.618086885
680	3.614804332
681	3.611673688
682	3.610495475
683	3.60731427
684	3.605414042
685	3.603041098
686	3.601720589
687	3.600696199
688	3.599600273
689	3.597712924
690	3.597140114
691	3.596067499
692	3.595284271
693	3.594221197
694	3.590907351
695	3.589285641
696	3.587482588
697	3.585970669
698	3.584459578
699	3.581729582
700	3.579240247
701	3.577037064
702	3.573086088
703	3.569979978
704	3.567375589
705	3.566410182
706	3.564174389
707	3.561158379
708	3.560706406
709	3.559277913
710	3.559098329
711	3.558702902
712	3.557849437
713	3.555929085
714	3.552739609
715	3.549666353
716	3.548093371
717	3.546543113
718	3.545201066
719	3.542178565
720	3.539432022
721	3.536112939
722	3.535547821
723	3.535308768
724	3.534097911
725	3.530261411
726	3.52875997
727	3.526224517
728	3.522861679
729	3.522361231
730	3.521877217
731	3.519173633
732	3.518398704
733	3.516467878
734	3.51613724
735	3.514304229
736	3.514020716
737	3.512189457
738	3.510073882
739	3.507963264
740	3.506580352
741	3.504770847
742	3.503061864
743	3.501896027
744	3.500511132
745	3.498989033
746	3.498515809
747	3.497298065
748	3.495130472
749	3.491611025
750	3.488671931
751	3.487593153
752	3.484632472
753	3.482607613
754	3.481163844
755	3.481035028
756	3.480590483
757	3.477924189
758	3.476902216
759	3.474133469
760	3.473041551
761	3.472028889
762	3.471066178
763	3.469819182
764	3.4697488
765	3.46847704
766	3.467568534
767	3.466764435
768	3.464876708
769	3.46474865
770	3.463485378
771	3.463016101
772	3.462934208
773	3.46183598
774	3.460592127
775	3.459190455
776	3.458757348
777	3.456815645
778	3.456405403
779	3.453994214
780	3.453310256
781	3.45140265
782	3.449651312
783	3.449012853
784	3.447928371
785	3.447529131
786	3.446714825
787	3.445026476
788	3.443275852
789	3.440534636
790	3.439466933
791	3.439188071
792	3.438891441
793	3.435732696
794	3.4344999
795	3.432267855
796	3.429800157
797	3.426617623
798	3.425198007
799	3.423029102
800	3.420730891
801	3.419802394
802	3.418694116
803	3.417437295
804	3.417091707
805	3.414853695
806	3.414167892
807	3.411856964
808	3.408479433
809	3.407876771
810	3.406917044
811	3.406411901
812	3.404682744
813	3.402607869
814	3.400613963
815	3.397192488
816	3.396442807
817	3.395094784
818	3.394382576
819	3.393002705
820	3.391881683
821	3.391080691
822	3.389621302
823	3.387880799
824	3.385755536
825	3.384896615
826	3.383797962
827	3.383755955
828	3.380841396
829	3.378218279
830	3.376848974
831	3.375563965
832	3.37447943
833	3.373380068
834	3.370029005
835	3.367339518
836	3.365954609
837	3.365071767
838	3.363128349
839	3.361446269
840	3.360823676
841	3.359899321
842	3.35946502
843	3.356972028
844	3.356337972
845	3.354032389
846	3.35126674
847	3.350237375
848	3.347017455
849	3.344339993
850	3.344283693
851	3.344173444
852	3.340142308
853	3.338536157
854	3.336065664
855	3.33331073
856	3.331278085
857	3.327697694
858	3.326291487
859	3.325262994
860	3.324225356
861	3.324087552
862	3.32254134
863	3.320378043
864	3.317318456
865	3.314563364
866	3.311855462
867	3.309597299
868	3.308085005
869	3.305898371
870	3.304039381
871	3.302394238
872	3.299734633
873	3.299356872
874	3.298209184
875	3.296903404
876	3.295659296
877	3.294584976
878	3.293408646
879	3.292402689
880	3.291350997
881	3.291290199
882	3.290381453
883	3.290005024
884	3.289893226
885	3.287461629
886	3.285768483
887	3.283229954
888	3.282232811
889	3.278884274
890	3.276571378
891	3.276349961
892	3.276247229
893	3.27471165
894	3.27369265
895	3.271704126
896	3.271596263
897	3.269511572
898	3.269167032
899	3.268605638
900	3.267320342
901	3.267216978
902	3.267122665
903	3.266382069
904	3.263792967
905	3.263626578
906	3.262727363
907	3.260431413
908	3.258926406
909	3.257890135
910	3.256159097
911	3.256063117
912	3.253455191
913	3.251643875
914	3.250720746
915	3.249892551
916	3.247521812
917	3.246478141
918	3.243444942
919	3.242374059
920	3.240057069
921	3.238100565
922	3.237821184
923	3.236959001
924	3.234966674
925	3.233548514
926	3.230289766
927	3.228636966
928	3.228592221
929	3.227546072
930	3.226994694
931	3.226525212
932	3.223147206
933	3.222709494
934	3.219611061
935	3.218841529
936	3.215428947
937	3.213827205
938	3.210592076
939	3.20824438
940	3.205561345
941	3.203408862
942	3.202791396
943	3.202088552
944	3.201126915
945	3.200923071
946	3.198601549
947	3.195755741
948	3.194577543
949	3.192309314
950	3.189758
951	3.18883956
952	3.187001328
953	3.185147708
954	3.183978753
955	3.181843149
956	3.178285343
957	3.175980749
958	3.174580235
959	3.173509182
960	3.172038374
961	3.16986477
962	3.168648704
963	3.166808136
964	3.164256269
965	3.16357078
966	3.162852507
967	3.160857547
968	3.159676032
969	3.157322646
970	3.156803364
971	3.155620227
972	3.153505139
973	3.153406479
974	3.152190044
975	3.151596484
976	3.151258441
977	3.150941058
978	3.147874675
979	3.147535471
980	3.145889489
981	3.145054492
982	3.144295154
983	3.142373595
984	3.141249766
985	3.139528611
986	3.138882504
987	3.1371619
988	3.135847812
989	3.135646761
990	3.134841676
991	3.134667646
992	3.133367712
993	3.132526573
994	3.130272025
995	3.130169781
996	3.129534152
997	3.126577031
998	3.126002394
999	3.125155079
